Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
2012-02-01,2.11,0.00,0.04,0.23,0.30,-0.55
2012-03-01,3.89,0.00,-0.01,-0.12,-0.12,0.20
2012-04-01,-2.87,0.00,0.00,-0.17,-0.33,-0.14
2012-05-01,-8.78,0.01,0.01,-0.02,-0.10,4.25
2012-06-01,-12.15,0.00,-0.01,-0.12,-0.17,-1.39
2012-07-01,5.53,0.01,0.01,0.12,0.22,0.99
2012-08-01,6.22,0.00,-0.02,-0.08,-0.04,-1.39
2012-09-01,0.50,0.00,0.00,0.01,-0.04,-1.31
2012-10-01,-5.09,-0.01,0.00,-0.04,-0.09,-0.02
2012-11-01,-2.83,-0.02,-0.01,0.06,0.13,0.23
2012-12-01,1.50,0.00,-0.02,0.07,0.11,-0.38
2013-01-01,6.46,0.03,0.02,0.07,0.14,-0.56
2013-02-01,0.64,-0.01,-0.01,-0.02,-0.02,2.77
2013-03-01,-2.18,-0.02,-0.02,-0.07,-0.11,1.01
2013-04-01,-1.10,-0.02,-0.01,0.09,0.09,-1.26
2013-05-01,2.70,0.01,0.03,0.40,0.46,1.65
2013-06-01,1.07,-0.02,-0.03,0.14,0.17,-0.21
2013-07-01,8.76,0.01,0.01,0.18,0.27,-1.72
2013-08-01,2.00,-0.03,-0.01,0.00,-0.06,0.64
2013-09-01,-0.23,0.03,0.00,-0.21,-0.17,-1.87
2013-10-01,-5.81,0.02,-0.01,-0.07,-0.04,-0.02
2013-11-01,-6.69,0.00,0.02,0.26,0.31,0.48
2013-12-01,4.09,-0.02,-0.02,0.00,-0.16,-0.64
2014-01-01,-2.91,0.01,0.00,-0.06,-0.04,1.23
2014-02-01,5.71,0.00,0.02,0.20,0.15,-1.49
2014-03-01,-0.13,-0.02,-0.03,-0.02,-0.14,0.32
2014-04-01,1.61,0.00,-0.01,-0.10,-0.14,-0.61
2014-05-01,-0.18,0.00,0.01,0.16,0.16,0.88
2014-06-01,3.24,-0.01,0.00,-0.05,-0.17,-0.59
2014-07-01,-2.26,0.01,0.00,0.01,-0.01,1.68
2014-08-01,-6.60,-0.01,0.00,0.06,0.00,1.29
2014-09-01,-3.03,0.00,0.00,-0.21,-0.22,3.19
2014-10-01,-8.95,0.00,0.02,-0.02,-0.11,0.94
2014-11-01,-8.70,0.01,0.08,0.11,0.02,1.48
2014-12-01,-16.60,0.00,-0.03,-0.32,-0.40,1.91
2015-01-01,-11.50,-0.01,0.04,0.15,0.17,4.53
2015-02-01,3.11,0.01,0.04,0.12,0.17,0.45
2015-03-01,-2.93,0.00,-0.02,-0.16,-0.11,3.11
2015-04-01,6.42,-0.01,0.00,0.11,0.16,-3.76
2015-05-01,5.06,0.00,0.05,0.22,0.27,2.31
2015-06-01,0.54,0.02,0.01,-0.12,-0.14,-1.42
2015-07-01,-8.64,0.04,0.09,-0.02,-0.06,1.88
2015-08-01,-8.30,-0.05,-0.02,-0.12,-0.09,-1.42
2015-09-01,2.62,-0.01,-0.11,-0.10,-0.10,0.40
2015-10-01,0.72,0.10,0.18,0.19,0.07,0.60
2015-11-01,-3.54,0.10,0.19,0.11,0.10,3.22
2015-12-01,-5.41,0.01,-0.13,-0.25,-0.26,-1.54
2016-01-01,-5.54,0.07,0.02,-0.21,-0.19,0.98
2016-02-01,-1.36,-0.02,0.12,0.15,0.11,-1.40
2016-03-01,7.43,-0.06,-0.07,-0.06,0.00,-3.62
2016-04-01,3.19,0.04,0.01,-0.02,-0.08,-1.51
2016-05-01,5.88,0.01,-0.01,-0.07,-0.08,2.81
2016-06-01,1.90,0.01,-0.06,-0.15,-0.21,0.25
2016-07-01,-3.86,0.01,0.08,0.11,0.12,-0.61
2016-08-01,-0.14,-0.02,0.00,-0.01,0.00,0.49
2016-09-01,0.42,0.03,0.06,0.09,0.12,-0.56
2016-10-01,4.72,0.10,0.04,0.24,0.27,2.99
2016-11-01,-4.26,0.08,0.16,0.42,0.43,3.05
2016-12-01,6.39,-0.02,-0.08,-0.13,-0.17,0.89
2017-01-01,0.55,0.03,0.03,0.06,0.09,-2.88
2017-02-01,0.84,0.25,0.23,0.21,0.18,1.61
2017-03-01,-3.82,0.02,-0.02,-0.28,-0.30,-0.77
2017-04-01,1.58,0.10,0.08,0.02,0.02,-1.30
2017-05-01,-2.61,0.14,0.13,0.02,-0.02,-2.13
2017-06-01,-3.39,0.04,-0.04,0.01,0.02,-1.26
2017-07-01,1.51,0.00,0.06,-0.01,0.00,-2.80
2017-08-01,1.36,-0.04,-0.01,-0.06,-0.11,-0.19
2017-09-01,1.67,0.05,0.12,0.18,0.16,0.41
2017-10-01,1.86,0.15,0.16,0.07,-0.01,1.47
2017-11-01,5.15,0.08,0.13,0.12,0.04,-1.54
2017-12-01,1.25,0.03,0.03,0.10,0.07,-0.89
2018-01-01,5.59,0.20,0.22,0.29,0.36,-2.99
2018-02-01,-1.41,0.14,0.10,0.04,0.00,1.48
2018-03-01,0.71,0.14,0.18,0.19,0.16,-0.64
2018-04-01,3.46,0.03,0.02,-0.01,-0.02,1.87
2018-05-01,3.57,0.12,0.15,0.08,0.06,2.15
2018-06-01,-2.37,-0.03,-0.05,-0.12,-0.15,0.64
2018-07-01,3.47,0.17,0.17,0.12,0.13,-0.14
2018-08-01,-3.00,-0.02,-0.02,-0.02,-0.04,0.65
2018-09-01,2.20,0.14,0.11,0.12,0.16,0.05
2018-10-01,0.57,-0.04,-0.08,-0.19,-0.18,1.94
2018-11-01,-14.18,0.02,-0.05,-0.25,-0.27,0.14
2018-12-01,-7.93,0.03,-0.05,-0.11,-0.09,-1.10
2019-01-01,2.72,0.10,0.07,0.05,0.06,-0.59
2019-02-01,3.63,0.14,0.07,0.01,0.03,0.58
2019-03-01,3.17,-0.13,-0.18,-0.15,-0.15,1.12
2019-04-01,5.72,-0.02,-0.08,-0.13,-0.13,0.20
2019-05-01,-3.14,-0.08,-0.24,-0.27,-0.22,0.27
2019-06-01,-6.06,-0.17,-0.12,-0.08,-0.10,-1.62
2019-07-01,2.83,-0.06,-0.10,-0.26,-0.34,2.39
2019-08-01,-2.67,-0.15,-0.06,0.00,-0.01,0.40
2019-09-01,2.02,-0.24,-0.17,-0.03,0.01,0.46
2019-10-01,-2.88,-0.18,-0.12,0.02,0.01,-2.03
2019-11-01,3.13,0.07,0.06,0.12,0.14,0.92
2019-12-01,2.75,-0.08,-0.08,-0.18,-0.17,-1.88
2020-01-01,-2.14,0.05,-0.06,-0.17,-0.18,1.00
2020-02-01,-7.11,-1.17,-1.00,-0.67,-0.56,0.74
2020-03-01,-20.72,-0.16,-0.16,-0.22,-0.24,0.92
2020-04-01,-13.07,-0.01,-0.02,-0.05,0.01,-0.03
2020-05-01,11.99,0.04,0.02,0.02,0.09,-0.68
2020-06-01,9.51,-0.04,-0.04,-0.08,-0.13,-0.95
2020-07-01,2.45,-0.02,-0.01,0.00,0.05,-3.90
2020-08-01,1.61,0.00,-0.01,-0.01,0.00,-1.35
2020-09-01,-2.75,-0.01,0.00,0.06,0.10,1.75
2020-10-01,-0.08,-0.01,-0.01,0.03,0.04,0.15
2020-11-01,1.99,0.00,-0.01,0.02,0.11,-2.17
2020-12-01,5.58,-0.01,-0.01,0.03,0.09,-1.93
2021-01-01,4.85,-0.04,-0.02,0.11,0.22,0.64
2021-02-01,7.14,-0.01,0.01,0.31,0.42,0.35
2021-03-01,3.27,-0.01,-0.01,0.04,0.02,2.30
2021-04-01,-0.65,0.00,-0.01,-0.08,-0.09,-1.95
2021-05-01,3.54,0.02,0.02,0.06,-0.02,-1.44
2021-06-01,6.14,0.01,0.01,-0.11,-0.26,2.60
2021-07-01,1.20,0.00,0.00,0.04,0.02,-0.27
2021-08-01,-4.85,-0.01,0.00,0.05,0.03,0.46
2021-09-01,3.73,0.01,0.03,0.23,0.19,1.62
2021-10-01,9.86,0.00,0.06,0.04,-0.09,-0.13
2021-11-01,-2.22,0.01,0.12,0.08,-0.02,1.87
